"id","qid1","qid2","question1","question2","is_duplicate"
2121,4243,4244,"What would be the expected salary of an income tax inspector after their seventh pay commission?","In hand salary of an income tax inspector, India, new recruit?","0"
2122,4245,4246,"What do you struggle with most in your life?","What are you struggling with in your life?","1"
2123,4247,4248,"Can you get pregnant 5 days before ovulation? Why or why not?","Can you get pregnant 5 days after your periods?","0"
2124,4249,4250,"How much time is required to complete the CBSE 11th and the CBSE 12th syllabus through self-study? Is it possible to do it in 6 months?","Can I complete the whole 11th CBSE syllabus in 1 month?","0"
2125,4251,4252,"What are some of the best sources to learn the Urdu language?","Which are the best sources to learn Hindi?","0"
2126,4253,4254,"What do guys think of girls that act goofy and self-deprecating?","What would guys think if a chubby girl likes him?","0"
2127,4255,4256,"Why internet is only for 28 days?","Which is the safest condom for having sex?","0"
2128,4257,4258,"How can I live and work in Dubai?","What is it like to live and work in Dubai?","0"
2129,4259,4260,"How can I avoid sleeping during studying?","How can I keep myself awake during boring lectures?","0"
2130,4261,4262,"My GF still talks and hangs out with her ex while I am at work. Told her I don't like it but she says they are just friends. Should I be worried?","What kind of camouflage pattern this?","0"
2131,4263,4264,"Have dogfights like those in Top Gun ever occurred in the real world between countries?","What were the call signs in the movie Top Gun?","0"
2132,4265,4266,"Why can't anything travel faster than the speed of light?","How do we know that nothing can travel faster than the speed of light?","1"
2133,4267,4268,"How do I confirm if I have bipolar disorder?","How do you know if you are bipolar?","0"
2134,4269,4270,"What are the different types of communication media and what are some examples?","What are the different types of communication?","0"
2135,4271,4272,"What is the best Python text editor for data scientists (iPython, PyCharm, Eclipse, etc.)?","How do I run Python script in PyCharm?","0"
2136,4273,4274,"What is your reaction about the ban on Rs. 500 and Rs. 1000 notes? Won't it create a chaos and harm the economy?","What do you think about the ban on 500 and 1000 denomination notes in India?","1"
2137,4275,4276,"How do I completely remove/uninstall Eclipse from my computer?","What is hohobnd? Is it a virus? How can I remove it from my computer?","0"
2138,4277,4278,"What is the power factor in the open delta connection of transformers? How is it determined?","What are the effects of leading power factor on loads, transformers & generators?","0"
2139,4279,4280,"How can I recover a lost T-Mobile phone?","What are T-Mobile's lost phone policies?","0"
2140,4281,4282,"Which DSLR camera is better Nikon D3300 and Canon EOS 1300D?","Which DSLR is better, Nikon D5500 or Canon EOS 60D?","0"
2141,4283,4284,"Which moment in your life changed you completely?","What was the moment in your life that changed it completely?","1"
2142,4285,4286,"If someone shares his Google Drive with me and in the future deletes a file in it, will that file be available to me in my Drive?","How do I save a shared file (shared with me) in my Google drive permanently (shared with me)?","0"
2143,4287,4288,"How will the ban of Rs 500 and Rs 1000 notes affect Indian economy?","What are your views on India banning 500 and 1000 notes? In what way it will affect Indian economy?","1"
2144,4289,4290,"What is the easiest way to hack a database?","How exactly do you hack a website/database?","0"
2145,4291,4292,"Why did Hillary Clinton think it was necessary to use a private server to conduct her personal and government communications?","What is the real reason that Hillary set up her own private email server as Secretary of State?","1"
2146,4293,4294,"Is it wise to move in with your boyfriend of 6 months into his place?","How can I know why I'm so in love with my boyfriend of only 6 months?","0"
2147,4295,4296,"Why should I do self respect?","Why cant we listen to John lennon?","0"
2148,4297,4298,"Do I need to watch Harry Potter before watching Fantastic Beasts and Where to Find Them?","Should I watch the Harry Potter series before watching Fantastic Beast and Where to Find Them?","1"
2149,4299,4300,"How can I read a book better?","Writing own notes by reading or only reading the book is better?","0"
2150,4301,4302,"How do I get a job in Australia shipping?","How do I get IT jobs in Australia?","0"
2151,4303,4304,"Which is the best institute engineering elective subject offered by other departments for a B.Tech Computer Science student in IIT Roorkee?","What is the best website for fresher computer science B.Tech students to grab a job?","0"
2152,4305,4306,"Why does some engineering students struggle to get job?","Why do engineering graduates not get jobs?","1"
2153,4307,4308,"What are average IQ scores by age?","What is the best way to get my IQ checked online?","0"
2154,4309,4310,"Are food allergies more common in USA?","Why are food allergies so common in USA?","0"
2155,4311,4312,"Data Recovery: I've lost all my contacts on my iPhone, however they are all there in iCloud. How can I get them back onto my iPhone?","How do I recover the lost contacts from an iPhone 6?","0"
2156,4313,4314,"What will be repercussion of India's surgical strike to Pakistan?","What do you think of India’s surgical strikes that took place against terrorists in Pakistan?","0"
2157,4315,4316,"What are the biggest strengths of The Indian Army?","What are the best strengths of Indian Army?","1"
2158,4317,4318,"What are the differences between 1st, 2nd and 3rd person point of view?","What are the different types of point of view? How do they differ from each other?","0"
2159,4319,4320,"Why are American conservatives and libertatians afraid of big governments?","When do Trump and his Trumpeters think America was great before, and how are they planning to get us back to that era?","0"
2160,4321,4322,"Do you think chatbots are really the new apps?","Are chatbots the new apps?","1"
2161,4323,4324,"We plan to shift in Koramangala, Bangalore. Which are some reasonably good schools there? What are some schools in Jaynagar?","What are the best media schools in Bangalore?","0"
2162,4325,4326,"How do I heat up my laptop?","Why does my food heat up unevenly in the microwave?","0"
2163,4327,4328,"Why are Japan and the U.S. so upset about the peace and prosperity in SCS and bilateral talk between the Philippines and China?","Why has Philippine polluted the SCS water by sinking its 2nd-hand US warship on Chinese island and should China do something about it?","0"
2164,4329,4330,"How should I start learning Python?","How should I begin learning Python?","1"
2165,4331,4332,"Does financial modelling have any scope in India?","What is the Scope of financial modelling in India?","1"
2166,4333,4334,"How is Narendra Modi as a person?","What is like to meet Narendra Modi?","1"
2167,4335,4336,"Which is the best startup accelerator?","Which are the best startup accelerators in Dallas?","0"
2168,4337,4338,"Why do they say that one must not visit both Sri Kalahasti and Tirupathi?","What are must visit temples in India?","0"
2169,4339,4340,"I don't feel like going to school and this is like everyday story. What should I do? I'm in 11th grade.","I'm 21. I no longer like going to school and don't see the point. I feel I'm so distant from friends recently. What should I do to make life more interesting? Should I take an adventure somewhere?","0"
2170,4341,4342,"In how many ways can we create object in Java?","How many ways can we create an object in java?","1"
2171,4343,4344,"After my onsite interview at Google, I did not get the SRE position. They said they'd ""send my file to other recruiters."" Is this a common rejection?","Google Recruiting: Are you expected to send a thank you / follow-up email after an on-site interview?","0"
2172,4345,4346,"Which hindi songs are good for singing audition for male?","What are some Hindi songs that I can sing on stage without any background music and it would sound good?","0"
2173,4347,4348,"Where can I sell my unimplemented business idea?","Where  can i sell a business idea?","1"
2174,4349,4350,"Can I use Jio 4G sim in 3G mobile?","Jio 4G on 3G mobile?","1"
2175,4351,4352,"Have I made a huge mistake not telling her?","I made a huge mistake, now what?","0"
2176,4353,4354,"What is that one question or answer on Quora that changed your life?","What is that one question or answer in Quora that changed your life?","1"
2177,4355,4356,"Why do some people still think Global warming a myth?","Why are there people who still don't believe that global warming is real?","1"
2178,4357,4358,"What's the difference between a post office and bank?","Where can I find a postal code?","0"
2179,4359,4360,"What is the best romance anime?","What is your absolute favourite romance anime?","1"
2180,4361,4362,"How would you describe this type of style?","How would you describe your style?","0"
2181,4363,4364,"What are some stories in which a student did not get good marks in JEE Main but scored good marks in JEE Advanced?","Have low scorers in the JEE Mains ever managed to make it to an IIT with good advanced scores?","0"
2182,4365,4366,"Which is the cheapest and best bluetooth speaker?","Which is the best Bluetooth speaker under Rs2000?","0"
2183,4367,4368,"How did Martin Heidegger's childhood influence his work?","How can one go back to his childhood?","0"
2184,4369,4370,"What are some books to expand your mind and increase intelligence?","What are some books that expand our mind?","1"
2185,4371,4372,"What is the excise refund on a brand new tourist permit vehicle in Mumbai, India? (Volkswagen Vento 2015 highline MT)?","What is the excise refund on a brand new tourist permit vehicle in Mumbai, India? (Car: Volkswagen Vento 2015 highline MT)","1"
2186,4373,4374,"What matters at the end most?","What matters at the end of the day, week, month, year and Life?","1"
2187,4375,4376,"How do you earn money from internet?","How can we earn money online in india?","1"
2188,4377,4378,"What makes Earth to rotate on its axis?","What Is the cause of earth rotation around Its axis?","1"
2189,4379,4380,"How do we should live?","How do we live?","1"
2190,4381,4382,"Who's your favourite character in the Walking Dead?","Who is your favourite character in the TV series The Walking Dead? Why?","1"
2191,4383,4384,"Should you tip your Lyft driver?","Should you tip your Uber driver?","1"
2192,4385,4386,"What is your political affiliation and why?","What are some political affiliations?","1"
2193,4387,4388,"What is Queen's University's acceptance rate for international students?","What personality traits are predictive of worse outcomes/adaptions when one develops dementia?","0"
2194,4389,4390,"What should I do to prepare for NDA?","How can I prepare for NDA in 6 months?","0"
2195,4391,4392,"What do you think about banning 500 and 1000 rupee notes in India?","Was the decision by the Indian Government to demonetize 500 and 1000 notes right or is it a big scam?","1"
2196,4393,4394,"Is isolating Pakistan at the international stage the best step India can take after the Uri attacks on the diplomatic front?","What is the best option to respond to Pakistan after Uri attack?","1"
2197,4395,4396,"What would be the voltage regulation if there is capaciyicve load?","What does it mean if a website is hosted on a load balanced web server and that sticky sessions would have to be enabled on the load balancers and that session checks would have to be done on page loads?","0"
2198,4397,4398,"How do I know who are following WordPress blog when it shows different numbers of followers in different pages?","How and why do religious people who follow specific teachings feel compassion for those who follow different ones, when those teachings suggest they are worshiping false gods?","0"
2199,4399,4400,"How much is a Bob Ross painting worth? How much should I bid on eBay?","Why did Bob Ross perm his hair?","0"
2200,4401,4402,"Is 21 too late to learn guitar?","Is it too late to learn how to sing at age 21?","0"
2201,4403,4404,"What programming language I should learn first?","What is the best computer programming language to learn first?","1"
2202,4405,4406,"The remote device or resource won't accept the connection problem in Windows 8.1. How do I solve this problem?","When I reformat my Neo laptop into Windows 8.1, its speakers make no sounds. How can I fix this kind of problem?","0"
2203,4407,4408,"How can I start my startup?","What's the best way to start a startup?","1"
2204,4409,4410,"What are the best restaurants in Silicon Valley overall?","What are some good restaurants in Silicon Valley?","1"
2205,4411,4412,"What are some home remedies for menstrual cramping and bloating?","What are some home remedies for treating diarrhea?","0"
2206,4413,4414,"How do I practice semen retention?","What is semen retention?","0"
2207,2764,4415,"What are the best workout songs?","Which are the best workout songs?","1"
2208,4416,4417,"Who is next CM of Gujarat?","Who will be next CM of Gujarat?","1"
2209,4418,4419,"What is the taste of semen?","What does cum taste like?","1"
2210,4420,4421,"What is the difference between I had had and I have had?","What's the difference between ""I have had and I had""?","0"
2211,4422,4423,"How is black money stored in a Swiss bank?","What is black money and why is it stored in Swiss banks?","0"
2212,4424,4425,"Is it illegal to use a fake .edu email to get student discounts?","Do Manipal students get a .edu email address?","0"
2213,4426,4427,"What are the differences between WeChat and QQ?","Why is QQ more popular than WeChat?","0"
2214,4428,4429,"Is there any way to recover an e-mail in Gmail after it's deleted from the trash?","Is there anyway to retrieve my deleted emails from my Gmail account?","1"
2215,4430,4431,"Why do people on Quora ask silly questions about the facts which can be googled very easily?","Why do some people ask questions on Quora that could be asked directly to a search engine ?","1"
2216,4432,4433,"Do airlines know what I'm buying in the airport?","What do airport planners think of the video game series Airline Tycoon?","0"
2217,4434,4435,"Why do people ask such stupid questions on Quora?","Why do people have to ask Quora for questions?","1"
2218,4436,4437,"How was it to meet Richard Feynman?","What was it like to meet Richard Feynman?","1"
2219,4438,4439,"What should I do to make money online in India?","What are some easy ways to make done extra money online?","1"
2220,4440,4441,"How do I back up an Amazon EC2 instance automatically?","I've accidentally deleted my EC2 instance with no snapshot or EBS backup. Can I or Amazon recuperate the instance?","0"
2221,4442,4443,"Is Donald Trump the best for America?","Is Donald Trump the best presidential candidate?","0"
2222,4444,4445,"What color was Adam and Eve?","Who between Adam and Eve was black?","0"
2223,4446,4447,"What are your views on responses given by Presidential candidates on the first debate 2016?","What do you think about the first presidential debate between Hillary and Trump?","1"
2224,4448,4449,"What is the best workflow process from web design to web development using Adobe muse?","What is the best workflow process from design to development using Adobe Muse?","1"
2225,4450,4451,"How can I gain weight as an 18 year old girl?","How do I gain weight as a teenager?","1"
2226,4452,4453,"What should be a human like ""with Full of thoughts and emotions or just a intelligent species to work only?","What would a society based on laws enforcing only consensual interaction free of force, threat, or deception among humans and having no other kinds of laws be like?","0"
2227,4454,4455,"Can we kill a black hole?","Can a black hole be destroyed?","0"
2228,4456,4457,"How I can be good at handwriting?","How can I have good handwriting?","1"
2229,4458,4459,"How can I write up a funky message for my best friend who is going to abroad for studies?","If you study abroad in Japan how hard is it to make a local friend?","0"
2230,4460,4461,"What are some of the most common examples of metals and non-metals?","What are some common examples of metal carbonates?","0"
2231,4462,4463,"How do kilns work?","How does a kiln work?","1"
2232,4464,4465,"Why is there no c flat in music?","Should I shift the key of C when transposing music?","0"
2233,4466,4467,"What is the current political scenario of India?","What is the current political scenario in India?","1"
2234,4468,4469,"How can I create multiple streams of income?","Can a person realistically create multiple streams of income?","1"
2235,4470,4471,"How did you learn to speak English?","How can I learn to speak a fluent English?","1"
2236,4472,4473,"Who is the better singer: Arijit Singh, Mohit Chauhan Or Sonu Nigam?","How many of you think KK is much better than Arijit Singh?","0"
2237,4474,4475,"Why did people think that Donald Trump will be a good president and voted for him?","Why is Donald Trump so popular?","1"
2238,4476,4477,"My ex girlfriend just gave birth to a child with the guy she cheated me with , but the asshole abandoned her, what should I do?","How can I get Clash Of Clans Gem or Gold for free? ‎","0"
2239,4478,4479,"What causes a premature birth?","What are the causes of preterm birth?","1"
2240,4480,4481,"What is the scope of an electronics and communications engineer in India?","Do Electronics and Communication Engineers have any scope in India? Why or why not?","0"
2241,4482,4483,"What is it like to be a non-Mormon attending a Mormon college or university?","Why don't Mormons clap at church?","0"
2242,4484,4485,"What kind of underwear should guys wear for gymming?","What kind of underwear should a guy wear?","0"
2243,4486,4487,"What do belly button piercings feel like?","How do belly button piercings close?","0"
2244,4488,4489,"I am poor in English grammar so how should I improve my grammar?","What can I do to improve my English Grammar?","1"
2245,4490,4491,"What is the best App for downloading films for free?","What are the best apps for downloading films for free?","1"
2246,4492,4493,"What are some things new employees should know going into their first day at Trustmark?","What are some things new employees should know going into their first day at Microsoft?","0"
2247,4494,4495,"Why can't we just block the import of Chinese goods in India?","Why should India tolerate China, when it seems to block every single move of India in the Geo-political arena? Can't we block Chinese goods in India?","1"
2248,4496,4497,"Why do you think IFS is better than IAS for the long term?","Why should one choose IPS over IAS?","0"
2249,4498,4499,"How is the word ""jocund"" used in a sentence?","How is the word 'inarticulate' used in a sentence?","0"
2250,4500,4501,"Why are some questions marked as ""needing improvement"" when clearly they do not need improving?","Why do all of my questions on Quora need improvement?","1"
2251,4502,4503,"How can I fall in love?","How is it to fall in love.?","1"
2252,4504,4505,"Which laptop is best to buy within the range of 30000rs?","which laptop will be best under Rs 30,000?","1"
2253,4506,4507,"How the economic system of a country affects foreign firms interested in doing business there?","Which colour is best for a Thunderbird, matte black or normal black?","0"
2254,4508,4509,"Do guys forget about girls they like easily?","Is it true that Darwin plagiarized his theory of evolution?","0"
2255,4510,4511,"Is it possible to crack the JEE Mains and Advanced 2016 if I start preparing now?","Is it too late to start preparing for the JEE Mains 2016 if I start right now?","1"
2256,4512,4513,"What is the cause of death of Robert J. Cooper?","Is there a death caused by aging?","0"
2257,4514,4515,"Which are the best onlime companies in India?","Which is the best IT company in India?","0"
2258,4516,4517,"Why do people believe in God and how can they say he/she exists?","Why do people believe in a higher power and God?","1"
2259,4518,4519,"What is your most amazing personal story of traveling to Rome?","What is your most amazing personal story of traveling to Philippines?","0"
2260,4520,4521,"How do I become the Top Writer on Quora, get more upvotes and better stats?","How do you become a Top Writer on Quora for 2014?","1"
2261,4522,4523,"How do I make India as corruption free?","What steps must Indians take to make India corruption free?","1"
2262,4524,4525,"How was Ronald Reagan viewed by progressives and liberals?","What is the liberal perspective of Ronald Reagan?","0"
2263,4526,4527,"Which Indian medical colleges have a good reputation in USA?","Which is more rewarding? An MS in USA or Germany? This is about my friend- currently pursuing BTech in computer engg from a reputed college in Mumbai","0"
2264,4528,4529,"What is the best food in Pune and where do I get it?","What is the best food in Pune?","1"
2265,4530,4531,"What is DDoS?","What is a DDoS attack?","0"
2266,4532,4533,"What would be a realistic plan to lose weight?","How can I efficiently lose weight?","1"
2267,4534,4535,"What are your absolute favorite 7 books?","What are your favorite books of all time? And why?","0"
2268,4536,4537,"How do I fix the date on my watch?","What does the interior of a Rolex Day-Date watch look like?","0"
2269,4538,4539,"I was recently hired at Accenture in the Netherlands in technology consultancy. I was hired at level 11 analyst with 12 months at this level. How much time will it take me to get my first promotion to consultant?","My career level in Accenture is 11. How will I get promoted, and the salary increment if I work for lifetime?","0"
2270,4540,4541,"What is Visual FoxPro database?","What is Visual FoxPro?","0"
2271,4542,4543,"How do I tell the difference between all NASA's space shuttles?","Were there any substantive differences between the space shuttles?","1"
2272,4544,4545,"What can I do after completing Bcom?","What should I do after completing my bcom?","1"
2273,4546,4547,"How Google Pixel's camera is better than any other phone even iPhone?","I've not had my period for 3 months now (Last period ended on June 9th). I'm 17, never been sexually active. What should I do?","0"
2274,4548,4549,"Where can I find startup advisors?","How can i find Advisors who can help me with startup incorporation?","0"
2275,4550,4551,"How do you move on with a broken heart?","How do you get over a broken heart?","1"
2276,4552,4553,"Why has not any Indian Mathematician won a Fields Medal?","Why has an Indian born person never received the Fields medal?","1"
2277,4554,4555,"Is the Korean War a hoax?","Who won the Korean War?","0"
2278,4556,4557,"Which is the best Teradata online training?","Where is the best institute for Teradata Online Training?","1"
2279,4558,4559,"How are YIF placements?","I am really impressed by the course structure of YIF. I wish to make my career in marketing. Is it a good option for me to join YIF?","0"
2280,4560,4561,"How do you distinguish fake, plastic rice imported from China from the real rice that doesn't have plastic in it?","How can Asian people eat rice three times a day?","0"
2281,4562,4563,"Is it really a big disadvantage to graduate at 27?","How big of a disadvantage am I at for graduate admissions if I go to a school ranked in the mid 60's for CS?","0"
2282,4564,4565,"How long will the reservation system (quota) continue in India?","Will the caste-based reservation system come to an end in India?","1"
2283,4566,4567,"What are the advantages of mechanical energy?","How much energy is there in X and gamma rays (in eV)?","0"
2284,4568,4569,"How do the tourist attractions on the Scandinavian Highlands compare to attractions in Belgium?","How do the tourist attractions on the Scandinavian Highlands compare to attractions in the Netherlands?","0"
2285,4570,4571,"How do I make money starting a blog?","How can I start making money by starting a blog?","1"
2286,4572,4573,"My husband bangs on things and breaks them during our fights. He has never hit me, though. He doesn't sort things through discussion. He also hurls abuses at me. Am I just waiting to be hit by him? Would that be his next step?","I admitted to a man I liked him, and heard later he liked me. He never told me. Why was he mad at me when he didn't make up his mind and I moved on?","0"
2287,4574,4575,"What are the east way to hack whatsapp?","Can someone hack my smart phone using WhatsApp?","1"
2288,4576,4577,"What are your 2017 New Year’s resolution(s)?","What are some of the craziest New Year’s resolutions you are considering making for 2017?","0"
2289,4578,4579,"What is the importance of education to the United States and how are their views of education different from Denmark's?","What is the importance of education to the United States and how are their views of education different from Slovakia's?","0"
2290,4580,4581,"Is it possible to reduce 17 lbs in one month?","What are the best ways to lose weight?","0"
2291,4582,4583,"What are scotch eggs and when were they invented?","What are scotch eggs and what are their origins?","1"
2292,4584,4585,"How come some people don't dream while they sleep?","Why don't Japanese people sleep on a bed?","0"
2293,4586,4587,"Job interview defect?","What was the purpose of the Iran nuclear deal if Iran wasn't planning to build a nuclear weapon?","0"
2294,4588,4589,"What does honors means in graduation?","I have trouble getting my claim amount form apps daily insurance?","0"
2295,4590,4591,"Is there any law that prohibits a naval officer from wearing uniform in witness box as shown in Rustom?","Are there any laws that prohibit a sports league from influencing results in order to increase profits from ticket sales and advertising revenues?","0"
2296,4592,4593,"What are the best excuses for taking casual leave when you have just joined a new company?","What excuse should I give to my manager to leave the job that I joined just a month ago?","0"
2297,4594,4595,"Can dogs eat grape jelly? Why or why not?","Are grapes bad for any breeds of dogs?","0"
2298,4596,4597,"What are the most interesting products and innovations that Boston Beer is coming out with in 2016?","What are the most interesting products and innovations that Boston Scientific is coming out with in 2016?","0"
2299,4598,4599,"What type of government does Guatemala have? How does it compare to the one in Canada?","What type of government does Guatemala have? How does it compare to the one in Venezuela?","0"
2300,4600,4601,"Is Sathyabama a good university?","What is Victoria University good at?","0"
2301,4602,4603,"What was the cotton gin's impact on American slavery?","How important was slavery to the South's competitiveness in the global cotton trade?","0"
2302,4604,4605,"What are the best games for couples to play?","What are some good games for a couple to play?","1"
2303,4606,4607,"How do I convert NRE FD to RFC?","How do I convert NRE FD for RFC?","1"
2304,4608,4609,"What might cause a brown discharge during the menstrual cycle (before/during/after menstruation)?","Why do I get a brown discharge before my menstrual cycle?","1"
2305,4610,4611,"How do I ask questions with pictures on ""Quora""?","How can ask questions using photos?","1"
2306,4612,4613,"What skills do all successful salespeople have in common?","What personality traits do all successful salespeople have in common?","1"
2307,4614,4615,"I have lost both of my CBSE 10th and 12th pass certificate and I have a doubt in applying for the duplicate, did anyone else apply?","I have lost my CBSE Board 12th class certificate. What should I do?","0"
2308,4616,4617,"What is a fictional work that is genuinely good but has a terrible fan base?","What are some good Harry Potter/Dean Thomas fan fictions?","0"
2309,4618,4619,"How do you get a job at an embassy or consulate?","How can you get a job in any embassy?","1"
2310,4620,4621,"What are some of the best side dishes for pork chops?","What are some good side dishes for pork ribs?","0"
2311,4622,4623,"What would happen to Tupac Shakur, criminally, if he is still alive (faked his death) and he came back into the public?","If Elliot Rodger hadn't committed suicide, and was still alive, what charges would he have faced, and what would his sentence be?","0"
2312,4624,4625,"What is the sigmoid function, and what is its use in machine learning's neural networks?","How is machine learning used in finance?","0"
2313,4626,4627,"What are arguments in favor of Israeli settlements?","What defense is there of Israeli settlements?","1"
2314,4628,4629,"What is oracle erp cloud?","What is oracle erp?","0"
2315,4630,4631,"How do you become a freelance writer in India?","How can I become a freelance writer in India?","1"
2316,4632,4633,"What does the final phone call at the end of Season 1 Episode 1 in ""The Man in the High Castle"" mean?","Where do the films in The Man in the High Castle come from?","0"
2317,4634,4635,"How can I draw myself as an anime character?","How do I draw my anime character?","1"
2318,4636,4637,"Why doesn't caller ID display the callers name on a cell phone if the number isn't in my contact list?","How can I access caller ID on an Android phone?","0"
2319,4638,4639,"How does a capacitor regulate?","How do capacitors regulate?","1"
2320,4640,4641,"What is the true meaning of freedom according to you?","What does Freedom mean to you? Are we really free?","0"
2321,4642,4643,"Did Jesus' apostles go back to their day jobs after the crucifixion?","When Jesus said that one of the apostles(Judas) will betray Him for it's according to God's salvation plan, was Judas predestined to go to hell?","0"
2322,4644,4645,"Is it true that Isaac Newton smoked?","Is it true that Isaac Newton was born prematurely and had autism or obsessive compulsive disorder?","0"
2323,4646,4647,"What is served for breakfast on a typical US army base?","How advanced is us army?","0"
2324,4648,4649,"What is a suitable solar panel installation provider near Laveen, Arizona AZ?","What is a suitable solar panel installation provider in Yuma, Arizona AZ?","0"
2325,4650,4651,"Are men the root of all evil?","Is masculine behavior the root of all evil?","0"
2326,4652,4653,"How come on some answers on Quora it says ""cannot add comment at this time""?","Why is there no comment section on some answers ?","1"
2327,4654,4655,"What can one do to control his/her anger?","What's the best method to control anger?","1"
2328,4656,4657,"What are the best digital marketing courses for mid-senior level marketing managers?","What is the best digital marketing course available online and offline in India and Why?","1"
2329,4658,4659,"What are some good Virat Kohli memes/jokes?","Is Rohit Sharma jealous of Virat Kohli?","0"
2330,4660,4661,"How good do I have to be at art to be accepted into art school?","Should an artist go to Art School to be successful?","0"
2331,4662,4663,"What is a transform?","What is a transformer?","0"
2332,4664,4665,"Which is the best RO water purifier in Ahmedabad?
","What is the best water purifier available in India?","0"
2333,4666,4667,"Why can I not add my friend back on Snapchat?","If you delete someone off snapchat how do you add them back?","0"
2334,4668,4669,"What is normalized score in gate exam?","What is normalized score in GATE?","1"
2335,4670,4671,"How do I impress my Would-be Mother-in-law?","How do I impress my mother in law?","1"
2336,4672,4673,"At what age do puppies stop biting?","My 2 months old female golden retriever puppy bites a lot. It doesn't look like play biting. She bites very furiously. Even when we are walking through her she follows us and tries to bite us very hard. What do I have to do to stop my puppy from biting?","0"
2337,4674,4675,"What are some interesting research areas in electrical engineering?","What are the top research fields in electrical engineering?","0"
2338,4676,4677,"What's the worst experience you've had while in a restaurant?","What is the worst restaurant experience you ever had?","1"
2339,4678,4679,"How fast could the world's fastest supercomputer brute force crack a password?","What methods are used to counter a brute force password attack?","0"
2340,4680,4681,"How does the rate of student happiness/unhappiness at MIT differ from major to major?","How does the rate of student happiness/unhappiness at Dartmouth differ from major to major?","0"
2341,4682,4683,"Which are the better laptops, HP or Dell?","Whose laptops are better, HP or Dell?","1"
2342,4684,4685,"How do you print a family tree from Ancestry.com?","How can I print documents from ancestry?","0"
2343,4686,4687,"How is an intelligence quotient test preformed and what is considered the average score in Alabama and how does this compare to Tennessee?","How is an intelligence quotient test preformed and what is considered the average score in Alabama and how does this compare to Texas?","0"
2344,4688,4689,"What is that one decision that changed your life forever?","What is one decision that changed your life forever?","1"
2345,4690,4691,"Why are the oil prices decreasing?","Why crude oil price is decreasing?","1"
2346,4692,4693,"What are the most underrated travel destinations?","What is the most underrated European travel destination?","0"
2347,4694,4695,"How do you get over an attitude problem?","How do you solve an attitude problem?","1"
2348,4696,4697,"What are the colleges that I can apply for MS in CS in US based on my profile?","What colleges should I apply for MS in CS based on my profile?","0"
2349,4698,4699,"What are some thoughts about death?","What do you think happens after death?","0"
2350,4700,4701,"I found these needle cases with Arabic on them. Could someone translate them?","I'm a translator and want to partner up with promising startups to introduce these in Germany. Where do I start to find and approach them?","0"
2351,4702,4703,"Do the President of the United States and his family have to live in the White House?","What does the president of the united states do with their house while living in the white house?","0"
2352,4704,4705,"What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?","What are the five apps on your smart phone that you use most often?","0"
2353,4706,4707,"What are the apps that I should install before or after rooting my Android device?","Which Android apps are necessary before rooting?","0"
2354,4708,4709,"How does it feel to be adopted, as a teenager, after your parents die?","What does it feel like, as a parent to see your child be obese?","0"
2355,4710,4711,"I have a feeling for a girl there, but I'm leaving soon. Should I ask the girl directly if I could send her flowers every month when I'm still here?","I think I'm developing feelings for a girl. I don't have a chance with her 'cause she has a boyfriend. Should I still tell her before she leaves?","0"
2356,4712,4713,"Why were people against the amendment 14?","Why does OCB (rolling paper) has been recently banned in Surat?","0"
2357,4714,4715,"Shouldn't we have debates between NaMo and RaGa similar to the US presidential debates?","Why there is presidential debates in US and not in India?","1"
2358,4716,4717,"Human Behavior: What is the one lie that you tell yourself repeatedly?","What is the lie you tell most often?","1"
2359,4718,4719,"How can I pass the 70-680 certification exam?","How can I pass the 70-410 exam?","0"
2360,4720,4721,"How can you be fit?","How can I fit in Germany?","0"
2361,4722,4723,"How do I apply stochastic gradient descent?","What does momentum mean in stochastic gradient descent?","0"
2362,4724,4725,"I want to buy a 32 inches LED TV under Rs 20,000. Is online LED TV is safe?","Which is best 32 inch led tv to buy below 20,000 INR?","1"
2363,4726,4727,"What does the blue French horn symbolize?","Is the French horn worth trying?","0"
2364,4728,4729,"How often does Netflix add new titles to their streaming collection?","On average, how soon after box office release does Netflix make new movies available for streaming?","0"
2365,4730,4731,"What is a goood answer to 'Why should I not hire you?'","What is the best answer to why should I not hire you?","1"
2366,4732,4733,"What is the best time of the year to visit Glacier National Park?","When is the best time to visit Death Valley National Park?","0"
2367,4734,4735,"What are buffer regions?","What is a buffer?","0"
2368,4736,4737,"Is it healthy to sit in front of a computer 10 hours a day?","Is going to the gym the best option to stay healthy for people who spend 10+ hours a day sitting in front of the computer?","0"
2369,4738,4739,"How Bruce Lee died?","Who killed Bruce Lee?","0"
2370,4740,4741,"In which order should one watch all the marvel movies (and TV shows) in order to understand the timeline well?","What would be a good chronological order to watch all the Marvel MCU movies in?","1"
2371,4742,4743,"How do you develop a genuine interest in something you have no interest in?","How do I develop more interests in life?","0"
2372,4744,4745,"What evidence is there for Jesus Christ's death, burial, and resurrection?","Is there extra biblical evidence for the resurrected Jesus Christ?","1"
2373,4746,4747,"What is train?","What is training?","0"
2374,4748,4749,"How do you determine the solubility of zinc hydroxide?","How can you determine lithium hydroxides solubility?","0"
2375,4750,4751,"What is the best URL shortner extension for Safari?","What are the best YouTube Safari extensions?","0"
